Filename,Mean,HM,Median,Median_Group,Median_High,Median_Low,Mode,Std.Pop,Std,Variance_P,Variance,Min,Max,Range,Q1,Q2,Q3,IQR,85thPercentile,Skewness,Kurtosis, Jerk_Min, Jerk_Max, Jerk_Mean, Snap_Min, Snap_Max, Snap_Mean,Rating
84,82.265,82.18719,82,81.83333,82,82,82,2.541904,2.574286,6.461275,6.626949,77.9,87.3,9.4,80.9,82,84.1,3.2,85.55,0.358825,-0.45774,0,0,0,0,0,0,4
85,82.7225,82.65322,83.35,82.9,83.4,83.3,80.7,2.371338,2.401547,5.623244,5.767429,77.2,86,8.8,81.1,83.35,84.65,3.55,85.15,-0.64978,-0.46089,0,0,0,0,0,0,4
86,82.255,81.6212,84,83.6,84.1,83.9,87.7,6.964874,7.053602,48.50948,49.75331,66.2,90.3,24.1,76.8,84,87.85,11.05,89.65,-0.77619,-0.53053,0,11111.11111,27.77777778,-111111111.1,123456790.1,30864.19753,4
87,86.9375,86.8718,86.9,86.9,86.9,86.9,87.9,2.370832,2.401035,5.620844,5.764968,79.4,92.1,12.7,86.2,86.9,87.95,1.75,88.65,-0.5121,1.936981,0,0,0,0,0,0,4
88,91.1325,91.05325,91.1,90.9,91.4,90.8,88.1,2.690668,2.724945,7.239694,7.425327,86.2,97,10.8,88.95,91.1,92.9,3.95,93.65,0.122649,-0.68565,0,0,0,0,0,0,4
89,89.235,89.22162,89.35,88.9,89.4,89.3,89.4,1.088474,1.10234,1.184775,1.215154,85.9,91.5,5.6,88.65,89.35,90,1.35,90.3,-0.6333,1.242494,0,0,0,0,0,0,5
90,85.9275,85.82848,85,85,85,85,89.5,2.935983,2.973385,8.619994,8.841019,81.4,92.2,10.8,83.55,85,88.2,4.65,89.55,0.426841,-1.0399,0,0,0,0,0,0,5
91,86.81,86.77178,87.05,86.8,87.3,86.8,86.1,1.818488,1.841655,3.3069,3.391692,83.7,89.7,6,85.1,87.05,88.4,3.3,88.65,-0.15498,-1.26866,0,0,0,0,0,0,4
92,88.055,88.04573,88.1,87.93333,88.1,88.1,87.8,0.901097,0.912576,0.811975,0.832795,85.2,90.6,5.4,87.7,88.1,88.6,0.9,88.85,-0.48959,2.655755,0,0,0,0,0,0,4
93,88.3575,88.30561,88.2,87.8,88.3,88.1,88.1,2.141482,2.168763,4.585944,4.703532,83.7,92.9,9.2,87.05,88.2,89.65,2.6,90.45,0.053321,-0.19201,0,0,0,0,0,0,4
94,89.09,89.01628,88.35,87.9,88.4,88.3,86.7,2.591795,2.624813,6.7174,6.889641,85.4,95.1,9.7,87.05,88.35,90.2,3.15,92.8,0.842346,-0.27375,0,0,0,0,0,0,4
95,88.2875,88.17761,88.4,88.1,88.6,88.2,87.9,3.089594,3.128954,9.545594,9.790353,81.9,92.8,10.9,85.7,88.4,90.95,5.25,91.6,-0.44508,-0.9053,0,0,0,0,0,0,4
96,86.535,86.50577,86.7,86.7,86.7,86.7,87.7,1.583438,1.60361,2.507275,2.571564,83.1,89.5,6.4,85.3,86.7,87.75,2.45,88.05,-0.47521,-0.55745,0,0,0,0,0,0,5
